,GRID_CODE1-zoom,GRID_CODE-youtube,GRID_CODE-twitter,GRID_CODE-poi,GRID_CODE-flickr,GRID_CODE-email,GRID_CODE-company,Cluster_int
50,7094475.0,0.0,0.0,0.0,0.0,91077.81,0.0,0
51,8090543.0,0.0,0.0,0.0,0.0,866205.88,0.0,0
52,7290600.5,0.0,1124949.25,0.0,0.0,180186.72,0.0,0
53,6186475.5,0.0,2462866.75,0.0,0.0,20783.61,0.0,0
54,4822523.0,0.0,657229.38,0.0,0.0,1324638.25,0.0,0
55,8978171.0,0.0,0.0,0.0,0.0,3144477.75,0.0,0
56,6696655.5,0.0,0.0,0.0,0.0,4951041.5,0.0,0
57,4838460.0,0.0,0.0,0.0,0.0,6245136.5,0.0,0
58,4828419.0,0.0,0.0,57748.61,0.0,7118413.5,33758.25,0
59,1153692.38,0.0,0.0,678623.0,0.0,4033907.75,1157567.5,0
60,2587443.5,0.0,0.0,455063.72,0.0,4816404.0,1556241.88,0
61,7683847.0,0.0,0.0,0.0,0.0,3532369.25,2916957.0,0
62,9050017.0,0.0,0.0,0.0,0.0,201603.97,5415812.5,0
63,5513884.5,0.0,0.0,0.0,0.0,809018.31,9233352.0,0
64,4135902.75,0.0,0.0,0.0,0.0,143930.28,7160280.0,0
65,6022102.5,0.0,0.0,698725.75,0.0,0.0,2077490.25,0
66,5696674.5,0.0,0.0,4562060.0,0.0,0.0,0.0,0
67,5123523.0,0.0,0.0,6429683.5,0.0,0.0,0.0,0
68,6997974.0,0.0,0.0,2291972.75,0.0,0.0,0.0,0
69,6563208.5,0.0,0.0,0.0,0.0,0.0,0.0,0
70,4739406.0,0.0,0.0,0.0,0.0,0.0,0.0,0
71,5142688.0,0.0,0.0,0.0,0.0,0.0,3705241.75,0
72,5291322.5,0.0,0.0,1479434.0,0.0,0.0,12256233.0,0
73,3758472.25,0.0,0.0,3600813.5,0.0,75.05,13421983.0,0
74,2387212.25,0.0,0.0,2065952.0,0.0,1505733.5,4411661.0,0
75,1249595.63,0.0,0.0,0.0,0.0,3987113.25,4799371.5,0
76,4041342.25,0.0,0.0,338894.59,0.0,7095396.5,8345890.5,0
77,3444526.0,0.0,0.0,155142.69,0.0,10276767.0,3867424.5,0
78,2649041.0,0.0,49240.66,0.0,0.0,9473436.0,1349.26,0
79,5821096.5,0.0,0.0,0.0,0.0,4486151.0,0.0,0
80,8226113.5,0.0,0.0,0.0,0.0,7151725.5,0.0,0
81,6430187.5,0.0,41621.26,0.0,0.0,24543246.0,0.0,0
82,3990509.0,0.0,1307150.38,0.0,0.0,28495136.0,0.0,0
83,3510446.25,0.0,963343.0,1142013.88,0.0,12326055.0,0.0,0
84,14146179.0,0.0,1330369.75,1556553.25,0.0,3892736.0,0.0,0
85,13405170.0,0.0,676649.13,86913.71,0.0,12137903.0,0.0,0
86,4308115.0,0.0,0.0,0.0,0.0,20362934.0,0.0,0
87,9444461.0,0.0,0.0,0.0,0.0,22797342.0,0.0,0
88,17903966.0,0.0,0.0,0.0,0.0,15619530.0,0.0,0
89,10736739.0,0.0,0.0,0.0,0.0,3968141.5,0.0,0
90,347263.0,0.0,0.0,0.0,0.0,0.0,0.0,0
91,144265.53,0.0,0.0,0.0,0.0,0.0,0.0,0
92,3265891.25,0.0,0.0,0.0,0.0,566150.81,0.0,0
93,9821926.0,0.0,0.0,0.0,0.0,7572089.5,0.0,0
94,11617630.0,0.0,0.0,0.0,0.0,14966544.0,0.0,0
95,5018964.5,0.0,0.0,0.0,0.0,14992617.0,0.0,0
96,784459.13,0.0,0.0,0.0,0.0,10715964.0,0.0,0
97,6605332.0,0.0,0.0,0.0,0.0,12377083.0,0.0,0
98,10105798.0,0.0,0.0,0.0,0.0,17246502.0,0.0,0
99,4874518.0,0.0,0.0,0.0,0.0,15468323.0,804204.81,0
100,2264584.75,0.0,0.0,0.0,0.0,6995739.5,2692075.25,0
101,4850017.5,0.0,0.0,0.0,0.0,1591895.88,1569903.63,0
102,8452572.0,0.0,0.0,0.0,0.0,89048.97,0.0,0
103,7446841.5,0.0,0.0,0.0,0.0,62315.64,0.0,0
104,6961060.0,0.0,261861.58,0.0,0.0,0.0,0.0,0
105,10924460.0,0.0,3056654.25,0.0,0.0,0.0,0.0,0
106,7491006.5,0.0,3434192.5,0.0,0.0,30.71,0.0,0
107,1548053.13,0.0,682622.38,0.0,0.0,0.0,0.0,0
108,30564.2,0.0,0.0,0.0,0.0,1191834.25,0.0,0
109,158356.67,0.0,0.0,0.0,0.0,5147034.5,0.0,0
110,3643608.5,0.0,0.0,0.0,0.0,8482815.0,0.0,0
111,5868910.0,0.0,459586.41,0.0,0.0,6638917.0,0.0,0
112,4867848.0,0.0,2173892.5,0.0,0.0,2209262.25,380598.94,0
113,10140042.0,0.0,1297596.13,1163028.25,0.0,0.0,15263023.0,0
114,12239960.0,0.0,0.0,7259970.0,509122.31,0.0,43503464.0,0
