x,y,GRID_CODE1-zoom,GRID_CODE-youtube,GRID_CODE-twitter,GRID_CODE-poi,GRID_CODE-flickr,GRID_CODE-email,GRID_CODE-company
2.248452 ,48.897312 ,2194193.00 ,0.00 ,2863624.75 ,0.00 ,0.00 ,204730.89 ,2068840.25 
2.248644 ,48.897312 ,5455051.00 ,0.00 ,1399543.63 ,0.00 ,0.00 ,0.00 ,1450390.13 
2.248836 ,48.897312 ,4235993.00 ,0.00 ,942021.50 ,0.00 ,0.00 ,0.00 ,0.00 
2.249028 ,48.897312 ,451754.03 ,0.00 ,2094016.13 ,0.00 ,0.00 ,0.00 ,0.00 
2.249220 ,48.897312 ,336520.47 ,0.00 ,5590521.00 ,0.00 ,0.00 ,0.00 ,0.00 
2.249412 ,48.897312 ,2897388.75 ,0.00 ,4772126.00 ,0.00 ,0.00 ,1600183.75 ,0.00 
2.249604 ,48.897312 ,5702282.00 ,0.00 ,761840.19 ,0.00 ,0.00 ,3513098.25 ,0.00 
2.249796 ,48.897312 ,3771139.00 ,0.00 ,0.00 ,0.00 ,0.00 ,1827612.38 ,0.00 
2.249988 ,48.897312 ,132614.47 ,0.00 ,0.00 ,2020648.75 ,0.00 ,0.00 ,68950.80 
2.250180 ,48.897312 ,0.00 ,0.00 ,0.00 ,3981206.50 ,0.00 ,0.00 ,880050.75 
2.250372 ,48.897312 ,0.00 ,0.00 ,0.00 ,1220519.63 ,0.00 ,25950.59 ,232188.30 
2.250564 ,48.897312 ,0.00 ,0.00 ,107909.82 ,0.00 ,0.00 ,20537.47 ,0.00 
2.250756 ,48.897312 ,1102677.50 ,0.00 ,4466.75 ,0.00 ,0.00 ,0.00 ,0.00 
2.250948 ,48.897312 ,5061546.50 ,0.00 ,0.00 ,0.00 ,0.00 ,245718.00 ,0.00 
2.251140 ,48.897312 ,5371804.50 ,0.00 ,0.00 ,0.00 ,0.00 ,4042350.00 ,0.00 
2.251332 ,48.897312 ,2432307.00 ,0.00 ,0.00 ,0.00 ,0.00 ,5729529.00 ,0.00 
2.251524 ,48.897312 ,3785575.50 ,0.00 ,0.00 ,0.00 ,0.00 ,2705863.50 ,0.00 
2.251716 ,48.897312 ,3356608.50 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 
2.251908 ,48.897312 ,344308.44 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 
2.252100 ,48.897312 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 
2.252292 ,48.897312 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 
2.252484 ,48.897312 ,1864713.63 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 
2.252676 ,48.897312 ,4731460.50 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 
2.252868 ,48.897312 ,2618564.50 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 
2.253060 ,48.897312 ,3696003.75 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 
2.253252 ,48.897312 ,5050209.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 
2.253444 ,48.897312 ,2074343.88 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 
2.253636 ,48.897312 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 
2.225796 ,48.897120 ,1876320.75 ,0.00 ,2618292.25 ,0.00 ,1105645.13 ,0.00 ,0.00 
2.225988 ,48.897120 ,4277304.50 ,0.00 ,12160813.00 ,0.00 ,925360.88 ,0.00 ,0.00 
2.226180 ,48.897120 ,2672453.50 ,0.00 ,24441038.00 ,0.00 ,219961.77 ,0.00 ,0.00 
2.226372 ,48.897120 ,4842.39 ,0.00 ,22923294.00 ,0.00 ,0.00 ,0.00 ,0.00 
2.226564 ,48.897120 ,630285.13 ,0.00 ,8587571.00 ,0.00 ,0.00 ,0.00 ,0.00 
2.226756 ,48.897120 ,4172057.00 ,0.00 ,1067342.50 ,0.00 ,0.00 ,2305234.00 ,0.00 
2.226948 ,48.897120 ,5887391.50 ,0.00 ,0.00 ,0.00 ,0.00 ,4702618.50 ,0.00 
2.227140 ,48.897120 ,3088772.00 ,0.00 ,0.00 ,0.00 ,0.00 ,2312855.50 ,0.00 
2.227332 ,48.897120 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 
2.227524 ,48.897120 ,0.00 ,0.00 ,216632.38 ,0.00 ,0.00 ,0.00 ,0.00 
2.227716 ,48.897120 ,1203043.38 ,0.00 ,1769147.75 ,0.00 ,0.00 ,0.00 ,0.00 
2.227908 ,48.897120 ,3090808.00 ,0.00 ,1129909.75 ,0.00 ,0.00 ,0.00 ,0.00 
2.228100 ,48.897120 ,1657731.13 ,0.00 ,0.00 ,0.00 ,0.00 ,633374.63 ,0.00 
2.228292 ,48.897120 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,4048327.25 ,0.00 
2.228484 ,48.897120 ,0.00 ,0.00 ,56069.69 ,0.00 ,0.00 ,4395171.00 ,0.00 
2.228676 ,48.897120 ,0.00 ,0.00 ,2786449.50 ,0.00 ,0.00 ,3212140.25 ,0.00 
2.228868 ,48.897120 ,0.00 ,0.00 ,5519632.50 ,0.00 ,0.00 ,5641625.50 ,0.00 
2.229060 ,48.897120 ,0.00 ,0.00 ,7337188.50 ,0.00 ,0.00 ,4689574.00 ,0.00 
2.229252 ,48.897120 ,0.00 ,0.00 ,9069098.00 ,0.00 ,0.00 ,679137.38 ,0.00 
2.229444 ,48.897120 ,0.00 ,0.00 ,8748351.00 ,0.00 ,0.00 ,0.00 ,0.00 
2.229636 ,48.897120 ,0.00 ,0.00 ,3708848.25 ,0.00 ,0.00 ,0.00 ,0.00 
2.229828 ,48.897120 ,0.00 ,0.00 ,89793.64 ,0.00 ,0.00 ,0.00 ,0.00 
2.230020 ,48.897120 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 
2.230212 ,48.897120 ,0.00 ,0.00 ,3107535.25 ,0.00 ,0.00 ,0.00 ,0.00 
2.230404 ,48.897120 ,0.00 ,0.00 ,5812344.50 ,0.00 ,0.00 ,0.00 ,0.00 
2.230596 ,48.897120 ,0.00 ,0.00 ,3712493.25 ,0.00 ,0.00 ,0.00 ,0.00 
2.230788 ,48.897120 ,0.00 ,0.00 ,88340.83 ,0.00 ,0.00 ,0.00 ,0.00 
2.230980 ,48.897120 ,0.00 ,0.00 ,232864.70 ,0.00 ,0.00 ,0.00 ,0.00 
2.231172 ,48.897120 ,0.00 ,0.00 ,2392116.75 ,0.00 ,0.00 ,1139243.50 ,0.00 
2.231364 ,48.897120 ,51898.55 ,0.00 ,5557919.00 ,0.00 ,0.00 ,1745418.25 ,0.00 
2.231556 ,48.897120 ,3633098.50 ,0.00 ,5472163.00 ,0.00 ,0.00 ,196386.95 ,0.00 
2.231748 ,48.897120 ,6014996.00 ,0.00 ,4645298.50 ,0.00 ,0.00 ,1329907.00 ,0.00 
2.231940 ,48.897120 ,3486632.00 ,0.00 ,6912188.00 ,0.00 ,0.00 ,3151168.75 ,0.00 
2.232132 ,48.897120 ,22553.99 ,0.00 ,8390634.00 ,0.00 ,0.00 ,1601019.50 ,0.00 
2.232324 ,48.897120 ,0.00 ,0.00 ,3679990.25 ,0.00 ,0.00 ,48986.89 ,0.00 
2.232516 ,48.897120 ,0.00 ,0.00 ,57326.98 ,0.00 ,0.00 ,3146626.00 ,0.00 
2.232708 ,48.897120 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,4816445.00 ,0.00 
2.232900 ,48.897120 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,2201160.25 ,0.00 
2.233092 ,48.897120 ,880784.50 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 
2.233284 ,48.897120 ,1081993.75 ,0.00 ,1506063.75 ,0.00 ,0.00 ,0.00 ,0.00 
2.233476 ,48.897120 ,102.03 ,0.00 ,4372683.00 ,0.00 ,0.00 ,0.00 ,0.00 
2.233668 ,48.897120 ,1766065.13 ,0.00 ,3324050.50 ,0.00 ,0.00 ,0.00 ,0.00 
2.233860 ,48.897120 ,5369035.50 ,0.00 ,573604.75 ,0.00 ,0.00 ,0.00 ,0.00 
2.234052 ,48.897120 ,4724214.50 ,0.00 ,4293048.00 ,0.00 ,0.00 ,0.00 ,0.00 
2.234244 ,48.897120 ,2601063.00 ,0.00 ,5684784.00 ,0.00 ,0.00 ,2762618.75 ,0.00 
2.234436 ,48.897120 ,6695504.00 ,0.00 ,2448641.25 ,0.00 ,0.00 ,8202324.50 ,0.00 
2.234628 ,48.897120 ,11515721.00 ,0.00 ,0.00 ,0.00 ,0.00 ,10904554.00 ,0.00 
2.234820 ,48.897120 ,8665358.00 ,0.00 ,4416459.50 ,0.00 ,0.00 ,10109571.00 ,0.00 
2.235012 ,48.897120 ,4649097.50 ,0.00 ,9046984.00 ,0.00 ,0.00 ,7786422.50 ,0.00 
2.235204 ,48.897120 ,2503017.00 ,0.00 ,5603377.50 ,0.00 ,0.00 ,4319346.00 ,0.00 
2.235396 ,48.897120 ,6845061.50 ,0.00 ,561391.31 ,0.00 ,0.00 ,6560922.50 ,0.00 
2.235588 ,48.897120 ,7760324.50 ,0.00 ,218064.52 ,0.00 ,0.00 ,8072311.00 ,0.00 
2.235780 ,48.897120 ,5322852.50 ,0.00 ,6744926.00 ,0.00 ,0.00 ,3464195.75 ,0.00 
2.235972 ,48.897120 ,2488336.75 ,0.00 ,9807556.00 ,0.00 ,0.00 ,2721629.50 ,0.00 
2.236164 ,48.897120 ,6411283.50 ,0.00 ,4829144.00 ,570178.31 ,0.00 ,7068455.50 ,0.00 
2.236356 ,48.897120 ,11399508.00 ,0.00 ,212871.98 ,927771.44 ,0.00 ,8167258.50 ,730800.44 
2.236548 ,48.897120 ,8309520.50 ,0.00 ,0.00 ,604644.63 ,0.00 ,9526018.00 ,677592.88 
2.236740 ,48.897120 ,4444643.50 ,0.00 ,4.24 ,2716027.75 ,0.00 ,9151068.00 ,2582283.00 
2.236932 ,48.897120 ,2222899.75 ,0.00 ,0.00 ,4900648.00 ,0.00 ,8680142.00 ,6848668.50 
2.237124 ,48.897120 ,142746.48 ,0.00 ,132114.88 ,5557974.50 ,0.00 ,9576042.00 ,9528256.00 
2.237316 ,48.897120 ,3767293.00 ,0.00 ,1139380.00 ,3940977.50 ,0.00 ,14968079.00 ,9567556.00 
2.237508 ,48.897120 ,8729657.00 ,0.00 ,1450543.63 ,495913.94 ,0.00 ,13288698.00 ,7154837.50 
2.237700 ,48.897120 ,12040221.00 ,0.00 ,363610.59 ,0.00 ,0.00 ,5612252.00 ,9011666.00 
2.237892 ,48.897120 ,10044123.00 ,0.00 ,14450.58 ,0.00 ,0.00 ,4884657.50 ,8774785.00 
2.238084 ,48.897120 ,10536848.00 ,0.00 ,35496.01 ,0.00 ,0.00 ,2856279.75 ,5977915.50 
2.238276 ,48.897120 ,10201798.00 ,0.00 ,0.00 ,709189.06 ,0.00 ,1459.53 ,989661.94 
2.238468 ,48.897120 ,5730135.50 ,0.00 ,0.00 ,6668688.00 ,0.00 ,0.00 ,0.00 
2.238660 ,48.897120 ,9095870.00 ,0.00 ,0.00 ,10309216.00 ,0.00 ,0.00 ,0.00 
2.238852 ,48.897120 ,13428243.00 ,0.00 ,9840.96 ,5451954.00 ,0.00 ,846603.25 ,0.00 
2.239044 ,48.897120 ,10441883.00 ,0.00 ,0.21 ,279671.38 ,0.00 ,2174103.25 ,0.00 
2.239236 ,48.897120 ,4910504.50 ,0.00 ,0.00 ,0.00 ,0.00 ,3073246.00 ,0.00 
2.239428 ,48.897120 ,4585866.00 ,0.00 ,0.00 ,0.00 ,0.00 ,1115823.00 ,1213427.63 
2.239620 ,48.897120 ,4436541.00 ,0.00 ,0.00 ,4710562.00 ,0.00 ,59195.03 ,10794607.00 
2.239812 ,48.897120 ,1056646.63 ,0.00 ,0.00 ,9469921.00 ,0.00 ,1997923.13 ,14985589.00 
2.240004 ,48.897120 ,0.00 ,703580.31 ,1830951.63 ,5778555.50 ,0.00 ,5271591.00 ,6748970.50 
2.240196 ,48.897120 ,1913760.63 ,1348133.38 ,2854301.25 ,1370880.00 ,0.00 ,8492745.00 ,1929983.00 
2.240388 ,48.897120 ,5573368.00 ,123629.39 ,799294.13 ,4165319.25 ,0.00 ,9441694.00 ,5839412.50 
2.240580 ,48.897120 ,4868344.50 ,0.00 ,1832240.13 ,3432298.75 ,0.00 ,12173825.00 ,3933198.00 
2.240772 ,48.897120 ,973204.63 ,0.00 ,3628260.75 ,283668.22 ,0.00 ,9659132.00 ,287329.13 
2.240964 ,48.897120 ,1232673.38 ,0.00 ,1753558.13 ,0.00 ,0.00 ,4221314.00 ,0.00 
2.241156 ,48.897120 ,1542245.50 ,0.00 ,0.00 ,0.00 ,0.00 ,5771967.00 ,0.00 
2.241348 ,48.897120 ,2876516.50 ,0.00 ,2982696.75 ,0.00 ,0.00 ,20888006.00 ,0.00 
2.241540 ,48.897120 ,1582808.13 ,0.00 ,8964212.00 ,640085.69 ,0.00 ,24572910.00 ,0.00 
2.241732 ,48.897120 ,654.40 ,0.00 ,9728876.00 ,4455470.00 ,0.00 ,12293932.00 ,0.00 
2.241924 ,48.897120 ,2056025.63 ,0.00 ,6394112.50 ,5243033.00 ,0.00 ,2007877.13 ,0.00 
2.242116 ,48.897120 ,2698056.00 ,0.00 ,4530048.50 ,1787460.13 ,0.00 ,6931551.00 ,0.00 
